Age,How many books did you read during last 12months?
66,97
46,97
32,97
27,97
16,97
55,97
63,97
60,97
50,97
29,97
23,97
19,97
16,97
89,97
88,97
84,97
81,97
80,97
79,97
79,97
78,97
78,97
78,97
77,97
76,97
75,97
73,97
73,97
73,97
71,97
70,97
70,97
69,97
69,97
69,97
68,97
68,97
67,97
67,97
67,97
66,97
66,97
66,97
66,97
65,97
65,97
65,97
65,97
65,97
65,97
65,97
64,97
64,97
64,97
64,97
63,97
63,97
62,97
60,97
60,97
60,97
60,97
60,97
59,97
59,97
59,97
58,97
58,97
58,97
58,97
57,97
56,97
55,97
55,97
54,97
53,97
53,97
52,97
52,97
50,97
50,97
50,97
46,97
46,97
45,97
44,97
42,97
41,97
40,97
38,97
38,97
38,97
37,97
36,97
35,97
35,97
34,97
34,97
33,97
32,97
32,97
32,97
30,97
29,97
28,97
28,97
27,97
26,97
25,97
24,97
24,97
23,97
23,97
22,97
22,97
21,97
20,97
19,97
18,97
18,97
17,97
17,97
16,97
16,97
64,96
40,96
67,96
66,96
65,96
57,96
57,96
56,96
53,96
53,96
52,96
52,96
48,96
47,96
28,96
74,90
33,90
47,84
53,80
69,80
65,80
64,80
54,80
18,80
65,76
24,75
54,75
81,75
78,75
73,75
68,75
65,75
62,75
61,75
55,75
48,75
48,75
45,75
39,75
55,70
84,70
64,70
60,70
58,70
53,70
31,70
22,70
21,70
16,70
61,67
40,65
27,65
35,60
50,60
45,60
16,60
66,60
66,60
65,60
62,60
61,60
60,60
60,60
58,60
53,60
51,60
39,60
38,60
23,60
22,60
21,60
34,55
81,55
66,55
47,54
68,52
29,52
21,51
66,50
50,50
26,50
56,50
37,50
16,50
32,50
41,50
26,50
61,50
59,50
47,50
32,50
17,50
90,50
84,50
83,50
80,50
80,50
78,50
78,50
78,50
77,50
77,50
76,50
75,50
74,50
72,50
70,50
70,50
70,50
69,50
68,50
68,50
66,50
66,50
66,50
66,50
65,50
65,50
65,50
65,50
64,50
64,50
62,50
62,50
60,50
60,50
60,50
59,50
59,50
59,50
58,50
58,50
58,50
57,50
55,50
55,50
55,50
54,50
53,50
53,50
53,50
53,50
53,50
52,50
52,50
51,50
51,50
50,50
50,50
50,50
49,50
48,50
48,50
47,50
46,50
45,50
45,50
45,50
44,50
44,50
42,50
42,50
41,50
41,50
38,50
37,50
37,50
36,50
35,50
34,50
33,50
32,50
30,50
29,50
27,50
